| poker |
poker := Lab2 new.

Transcript clear; cr.
Transcript show: (poker pokerValidate: #(1 2 3 4 5 6 7 8)); cr.
Transcript show: (poker pokerValidate: #(1 2.9 '34')); cr.
Transcript show: (poker pokerValidate: #(9 8 7 6 5)); cr.
Transcript show: (poker pokerThreeOfAKind: #(13 13 4 13 8)); cr.
Transcript show: (poker pokerThreeOfAKind: #(13 13 4 13 4)); cr.
Transcript show: (poker pokerThreeOfAKind: #(9 9 9 13 9)); cr.
Transcript show: (poker pokerThreeOfAKind: #(1 2 3 2 2)); cr.
Transcript show: (poker pokerStraight: #(1 13 11 12 10)); cr.
Transcript show: (poker pokerStraight: #(8 6 4 7 5)); cr.
Transcript show: (poker pokerFullHouse: #(13 13 4 13 4)); cr.
Transcript show: (poker pokerTwoPair: #(1 1 1 2 2)); cr.
Transcript show: (poker pokerTwoPair: #(3 1 1 2 2)); cr.
